first_name,last_name,gender,country,phone,money
Karly,Yezafovich,F,Indonesia,292-73-7158,£90089.77
Torry,Van Velden,M,China,261-79-9978,£69861.51
Shalne,Charlon,F,Portugal,240-08-4236,£48976.02
Erastus,Cleft,M,Iran,310-58-5437,£58162.70
Renard,Pygott,M,Indonesia,453-75-8352,£27075.52
Miguela,Dericot,F,Japan,439-78-2237,£17675.07
Harlin,Boughen,M,Philippines,401-48-5969,£77889.81
Meridith,Cansdell,F,Thailand,618-78-4137,£93983.82
Shea,Largan,M,North Korea,750-92-0677,£76115.28
Amos,Furneaux,M,China,491-73-3357,£52655.16
Elita,Oneal,F,Sweden,444-02-3489,£59626.11
Quintus,Chaperlin,M,Bosnia and Herzegovina,118-61-5897,£70727.01
Dolly,Choudhury,F,Russia,523-81-6617,£68519.24
Seumas,Fetter,M,Thailand,312-13-9243,£86689.56
Blithe,Corter,F,Japan,564-24-3845,£9617.92
Rad,Feather,M,Zambia,857-43-6837,£-3275.63
Romeo,Lipyeat,M,Portugal,525-70-2213,£18256.63
Currey,Magovern,M,China,306-06-0780,£15585.16
Gilburt,Cesconi,M,South Korea,322-89-7404,£87499.54
Berky,Friary,M,Belize,612-99-5435,£81502.50
Sloan,Fillary,M,Indonesia,406-36-7152,£88315.85
Fielding,Cavnor,M,Philippines,401-32-3318,£10762.47
Noble,Moneypenny,M,Honduras,856-81-0657,£56973.70
Matteo,Danilovich,M,Armenia,267-53-8733,£40778.55
Christiano,Shallcross,M,Greece,201-80-9841,£56998.87
Lorene,Feaveer,F,Mongolia,387-38-6294,£27476.52
Guenevere,Simek,F,China,348-56-6705,£97460.86
Marius,Giottoi,M,Russia,747-83-5274,£82901.55
Marcellus,Escalera,M,Brazil,500-90-4907,£54705.05
Doe,Bahde,F,China,825-57-1006,£75026.22
Roman,Lagde,M,Switzerland,658-15-1356,£48776.67
Kareem,Keepence,M,Russia,865-75-0479,£62124.34
Opaline,Olivey,F,China,452-46-3822,£12367.40
Merrielle,Deevey,F,China,764-40-1318,£50994.29
Bill,Ravenhill,M,Indonesia,733-56-0826,£90737.46
Ignacius,Simmon,M,China,876-94-6052,£98224.18
Nerte,Gaul,F,Mauritius,762-96-9943,£31062.15
Lazare,Valens-Smith,M,Albania,393-39-3189,£43810.61
Orlando,Klaff,M,United Kingdom,230-13-8399,£65770.23
Ardeen,Olivelli,F,Greece,701-27-6538,£49252.64
Sydelle,Cullip,F,Indonesia,372-02-7645,£63451.05
Thorstein,Esel,M,France,896-51-2939,£37349.75
Rubi,Nolan,F,Saint Barthelemy,815-07-9872,£90455.75
Lynea,Masic,F,China,301-94-8347,£92360.09
Donalt,Millsom,M,China,777-45-1454,£82269.80
Abagael,MacPherson,F,Czech Republic,184-66-3599,£12590.82
Judas,Nelthorpe,M,China,348-20-6007,£71316.16
Alric,Johansson,M,Syria,724-31-5703,£22776.22
De,Gentiry,F,China,763-61-9006,£41126.18
Barrie,Berr,F,Indonesia,390-37-7831,£56680.35
Marlin,Fellgett,M,Russia,108-07-3377,£43709.67
Retha,Le Count,F,Philippines,456-99-1709,£39771.00
Siana,Codi,F,China,529-62-2807,£1844.14
Claudius,Merrett,M,Brazil,466-79-4388,£-1939.19
Nissy,Limpkin,F,Sweden,795-09-9757,£54320.24
Jere,Briiginshaw,M,China,258-28-2722,£82160.96
Tully,Torresi,M,China,431-31-1905,£96598.94
Whitney,Greatbach,M,China,279-36-4111,£40486.71
Marlena,Stag,F,Indonesia,199-21-9413,£61162.35
Goldi,Ferruzzi,F,Saudi Arabia,811-84-6979,£8960.49
Eva,Blackwell,F,Philippines,637-33-9953,£25598.10
Yovonnda,Trundler,F,Russia,806-11-1015,£58367.70
Nomi,Delion,F,Sweden,663-06-1814,£53690.51
Andrea,Tollady,M,Peru,774-05-7132,£58344.16
Alana,Cianelli,F,Poland,306-18-7042,£99553.04
Spense,Beardwood,M,China,610-10-0974,£5278.33
Monica,Cuppleditch,F,Poland,785-13-6651,£56240.50
